Year,State,Continuum of Care (CoC),CoC Name,CoC Award Amount,,,,,,
2015,PA,York City & County CoC,PA-512,1184845,,,,,,
2015,PA,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,PA-600,18215968,,,,,,
2015,PA,Western Pennsylvania CoC,PA-601,8792731,,,,,,
2015,PA,Beaver County CoC,PA-603,1534995,,,,,,
2015,PA,Erie City & County CoC,PA-605,2128578,,,,,,
2015,PR,Puerto Rico Balance of Commonwealth CoC,PR-502,13017927,,,,,,
2015,PR,South/Southeast Puerto Rico CoC,PR-503,5960026,,,,,,
2015,RI,Rhode Island Statewide CoC,RI-500,5985905,,,,,,
2015,SC,Charleston/Low Country CoC,SC-500,1717517,,,,,,
2015,SC,Greenville/Anderson/Spartanburg Upstate CoC,SC-501,3291688,,,,,,
2015,SC,Columbia/Midlands CoC,SC-502,3053383,,,,,,
2015,SC,Myrtle Beach/Sumter City & County CoC,SC-503,1844036,,,,,,
2015,SD,South Dakota Statewide CoC,SD-500,1126640,,,,,,
2015,TN,Chattanooga/Southeast Tennessee CoC,TN-500,2612695,,,,,,
2015,TN,Memphis/Shelby County CoC,TN-501,6716521,,,,,,
2015,TN,Knoxville/Knox County CoC,TN-502,1401099,,,,,,
2015,TN,Central Tennessee CoC,TN-503,1819533,,,,,,
2015,TN,Nashville/Davidson County CoC,TN-504,3233243,,,,,,
2015,TN,Oak Ridge/Upper Cumberland CoC,TN-506,731977,,,,,,
2015,TN,Jackson/West Tennessee CoC,TN-507,1490638,,,,,,
2015,TN,Appalachian Regional CoC,TN-509,1530908,,,,,,
2015,TN,Murfreesboro/Rutherford County CoC,TN-510,554745,,,,,,
2015,TN,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,393584,,,,,,
2015,TX,San Antonio/Bexar County CoC,TX-500,8329314,,,,,,
2015,TX,Austin/Travis County CoC,TX-503,5687295,,,,,,
2015,TX,Dallas City & County/Irving CoC,TX-600,16629599,,,,,,
2015,TX,Fort Worth/Arlington/Tarrant County CoC,TX-601,11955827,,,,,,
2015,TX,El Paso City & County CoC,TX-603,2758173,,,,,,
2015,TX,Waco/McLennan County CoC,TX-604,978750,,,,,,
2015,TX,Texas Balance of State (BoS) CoC,TX-607,7686653,,,,,,
2015,TX,Amarillo CoC,TX-611,711031,,,,,,
2015,TX,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",TX-624,324611,,,,,,
2015,TX,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",TX-700,32098014,,,,,,
2015,TX,Bryan/College Station/Brazos Valley CoC,TX-701,310636,,,,,,
2015,UT,Salt Lake City & County CoC,UT-500,7389067,,,,,,
2015,UT,Utah Balance of State CoC,UT-503,1640766,,,,,,
2015,UT,Provo/Mountainland CoC,UT-504,1089919,,,,,,
2015,VA,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",VA-500,4468766,,,,,,
